Tweet ID,URL,Content,Likes,Retweets,Replies,Quotes,Views,Date
1925206126594855033,https://x.com/keniaa_sp11/status/1925206126594855033,"@LeslieFlor68402 Exacto o sea, desarrollan resistencia, evolución rápida, pequeñas, mil ventajas ser bacteria",3,0,0,0,50,"May 21, 2025 at 03:04 PM"
1925091095496536319,https://x.com/sof_len/status/1925091095496536319,"-paralisis facial y mitad del cuerpo
-no tengo fuerza de esa parte 
-tuve una bacteria resistencia en la cara que me dejaba marcas y que si llegaba cerca del ojo me iba a dejar ciega 
-tuve internada todos los meses después que nací hasta los 8 años
+",0,0,1,0,5,"May 21, 2025 at 07:27 AM"
1924977866988474715,https://x.com/rebordosa74/status/1924977866988474715,"Mas o que Haraway faz é um gesto de resistência: ela não tenta restaurar an aura perdida. E ela a reconfigura no contato simbiótico com o outro, mesmo que esse outro seja máquina, bactéria ou cão.Enquanto Benjamin vê a perda da aura como tragédia, Haraway vê o surgimento de redes",2,0,0,0,20,"May 20, 2025 at 11:57 PM"
1924899297000099852,https://x.com/revistaBJFT/status/1924899297000099852,"Probióticos em foco!

A bebida de #maracujá com isolado proteico do soro não só mantém a viabilidade da bactéria probiótica Lacticaseibacillus rhamnosus GG por 28 dias, como também fortalece sua resistência ao trato gastrointestinal. https://t.co/NkYYT2JTUO

@ufvbroficial https://t.co/5USU1Hh2UU",2,0,0,0,24,"May 20, 2025 at 06:45 PM"
1924811251470782912,https://x.com/JennyEl41248033/status/1924811251470782912,"@carolhsolis Ya se verá en un tiempo el uso indiscriminado de antibióticos ,resistencia bacteria= muertes, porque tienen que cubrir su cuota d venta d medicinas. Pero el tiempo lo dirá.",5,0,0,0,81,"May 20, 2025 at 12:55 PM"
1924334208497131637,https://x.com/moy_qmac/status/1924334208497131637,"@dyctiostelium @capeji2014 @inspmx Solo para aclarar, porque es algo curioso, no hay casos de resistencia del treponema pallidium (la bacteria causante de la sífilis). Hay mucha resistencia a las otras opciones terapéuticas lo que representa un problema para los alergicos a penicilina.

https://t.co/5UJEWU6G9G https://t.co/KwqnKldQtY",3,0,1,1,293,"May 19, 2025 at 05:20 AM"
1923363302224048498,https://x.com/untalrizoto/status/1923363302224048498,"@_israel_rp @BassLuno @pajar0nalg0n No amigo, los antibióticos sean genéricos o de patente no ayudan en enfermedades víricas . Luego ahí andamos con una resistencia bacteria increíble por andar dando este tipo de tratamientos , y de combo te aplican ceftriaxona con Simi fibra para que apriete .",3,0,2,0,164,"May 16, 2025 at 01:02 PM"
1923214484623012019,https://x.com/fraumands/status/1923214484623012019,"@filhosdeosler Internar p medicação venosa. Imuno diz q tem receio de resistência da bactéria após antibiótico venoso, a não ser q seja só pra combater um possível biofilme (a confirmar com otorrino) otorrino quer tratar com antibiótico tópico e Imuno quer repetir pela milésima vez oral",1,0,1,0,39,"May 16, 2025 at 03:10 AM"
1923004498139574342,https://x.com/milubiii/status/1923004498139574342,El miedo más tonto que tengo ( o quizas no es tan tonto ) es generar resistencia a los antibioticos y que una bacteria ultra maligna me deje haciendole un asado a liam payne.,3,0,1,0,101,"May 15, 2025 at 01:16 PM"
1922638207868387676,https://x.com/ger4bacteria/status/1922638207868387676,mds a resistencia desse homem em falar em foucault é impressionante pq ele realmente consegue sustentar com outras referencias mas smp fica um elefante na sala e devo dizer q o elefante do panoptico foucaltiano está pesando cada vez mais,1,0,2,0,34,"May 14, 2025 at 01:00 PM"
1921402317321949280,https://x.com/Amigodela2/status/1921402317321949280,@niika_sauria Por eso NO hay que abusar de medicamentos. Hay gente que apenas le duele el dedo chiquito y van corriendoo a tomar antibióticos y cosas así.  Luego cuando tienen una bacteria o virus en el cuerpo no les hacen efecto los medicamentos por que el cuerpo desarrollo resistencia,1,0,1,0,37,"May 11, 2025 at 03:09 AM"
1920315184356204795,https://x.com/IntiKoryQuevedo/status/1920315184356204795,"✅CRN Resistencia Antimicrobiana✅

Epidemiology of antimicrobial resistance in bacteria isolated from inpatient and outpatient samples, Ecuador, 2018
https://t.co/gj2eaQT1pm

Diverse Escherichia coli lineages from domestic animals carrying colistin resistance gene mcr-1 in an Ecuadorian household
https://t.co/z7pLeNIbM1

First case of New Delhi metallo-β-lactamase in Klebsiella pneumoniae from Ecuador: An update for South America
https://t.co/ehKvrEu0K6

Increased detection of carbapenemase-producing Enterobacterales bacteria in Latin America and the Caribbean during the COVID-19 pandemic
https://t.co/aULfb0uIlX

Genomic characterization of a WHO critical priority isolate Enterobacter kobei ST2070 harboring OXA-10, KPC-2, and CTX-M-12 recovered from a water irrigation …
https://t.co/4StpXAHmZF

Salmonella enterica Serovar Infantis KPC-2 Producer: First Isolate Reported in Ecuador
https://t.co/T5rlZEFrDp",7,4,2,0,333,"May 8, 2025 at 03:09 AM"
1920198208220733779,https://x.com/euphoqdk/status/1920198208220733779,"@AmercoIan @euzinhosemnome_ @qrcudy oq é uma burrice, a bactéria vai criando resistência e quando realmente precisar dos antibióticos não vai funcionar",2,0,0,0,2,"May 7, 2025 at 07:25 PM"
